segment_feature,segment_value,count,target_rate,lift_vs_base
H1_experience_bucket,2+,146,0.410958904109589,1.3784630505559308
H1_experience_bucket,0,602,0.2707641196013289,0.908213280097731
H2_alignment_bucket,mid,209,0.3588516746411483,1.2036818503658246
H2_alignment_bucket,low,113,0.30973451327433627,1.038930116274455
H2_alignment_bucket,high,426,0.2652582159624413,0.8897450472641528
H3_engagement_bucket,low,404,0.3193069306930693,1.0710384939839275
H3_engagement_bucket,mid,298,0.2785234899328859,0.9342402263219669
H3_engagement_bucket,high,46,0.2391304347826087,0.8021056736205887
H4_complexity_bucket,mid,251,0.33067729083665337,1.109177639218909
H4_complexity_bucket,high,248,0.28225806451612906,0.9467669607984956
H4_complexity_bucket,low,249,0.28112449799196787,0.9429646838474975
