column,token,token_count,token_rate,non_token_rate,risk_diff,lift_vs_base
expected_domain,I. 숙박 및 음식점업,13,0.5384615384615384,0.2938775510204082,0.24458398744113025,1.8061400482925145
expected_domain,P. 교육 서비스업,40,0.425,0.2909604519774011,0.13403954802259888,1.4255605381165917
expected_domain,O. 공공 행정,56,0.3392857142857143,0.2947976878612717,0.044488026424442606,1.138052530429212
expected_domain,국방 및 사회보장 행정,56,0.3392857142857143,0.2947976878612717,0.044488026424442606,1.138052530429212
expected_domain,R. 예술,107,0.32710280373831774,0.29329173166926675,0.033811072069050985,1.097187879803864
expected_domain,스포츠 및 여가관련 서비스업,107,0.32710280373831774,0.29329173166926675,0.033811072069050985,1.097187879803864
expected_domain,Q. 보건업 및 사회복지 서비스업,33,0.30303030303030304,0.29790209790209793,0.00512820512820511,1.0164424514200299
expected_domain,G. 도매 및 소매업,30,0.3,0.298050139275766,0.001949860724233976,1.0062780269058296
expected_domain,C. 제조업,61,0.29508196721311475,0.29839883551673946,-0.0033168683036247093,0.9897816658090126
expected_domain,U. 국제 및 외국기관,92,0.29347826086956524,0.29878048780487804,-0.005302226935312793,0.984402417625268
expected_domain,J. 정보통신업,261,0.29118773946360155,0.30184804928131415,-0.010660309817712599,0.9767194130886724
expected_domain,N. 사업시설 관리,21,0.2857142857142857,0.2984869325997249,-0.01277264688543922,0.9583600256245994
expected_domain,사업 지원 및 임대 서비스업,21,0.2857142857142857,0.2984869325997249,-0.01277264688543922,0.9583600256245994
expected_domain,M. 전문,260,0.28076923076923077,0.3073770491803279,-0.026607818411097106,0.9417730251810968
expected_domain,과학 및 기술 서비스업,260,0.28076923076923077,0.3073770491803279,-0.026607818411097106,0.9417730251810968
expected_domain,K. 금융 및 보험업,276,0.2717391304347826,0.3135593220338983,-0.04182019159911571,0.9114837200233963
expected_domain,L. 부동산업,16,0.25,0.29918032786885246,-0.04918032786885246,0.8385650224215246
expected_domain,S. 협회 및 단체,21,0.23809523809523808,0.2998624484181568,-0.06176721032291871,0.7986333546871662
expected_domain,수리 및 기타 개인 서비스업,21,0.23809523809523808,0.2998624484181568,-0.06176721032291871,0.7986333546871662
expected_domain,H. 운수 및 창고업,13,0.15384615384615385,0.3006802721088435,-0.14683411826268966,0.5160400137978614
