column,token,token_count,token_rate,non_token_rate,risk_diff,lift_vs_base
desired_job,E. 소프트웨어 개발자,75,0.30666666666666664,0.2971768202080238,0.00948984645864287,1.02863976083707
desired_job,B. 데이터 분석가,482,0.3008298755186722,0.2932330827067669,0.007596792811905284,1.0090616452375192
desired_job,G. PM/서비스 기획자,110,0.3,0.29780564263322884,0.002194357366771149,1.0062780269058296
desired_job,I. 마케터,109,0.25688073394495414,0.3051643192488263,-0.04828358530387217,0.8616447936808327
desired_job,D. 인공지능 전문가,117,0.2564102564102564,0.3058637083993661,-0.04945345198910972,0.8600666896631021
desired_job,H. 자연과학계열 연구자,36,0.25,0.300561797752809,-0.050561797752809,0.8385650224215246
desired_job,C. 데이터 사이언티스트,298,0.26174496644295303,0.32222222222222224,-0.06047725577926921,0.8779606946158245
desired_job,A. 데이터 엔지니어,180,0.24444444444444444,0.31514084507042256,-0.07069640062597812,0.8199302441454906
desired_job,F. UI/UX 디자이너,23,0.17391304347826086,0.3020689655172414,-0.12815592203898052,0.5833495808149736
desired_job,J. MD,25,0.16,0.3029045643153527,-0.14290456431535267,0.5366816143497758
